"","ARPE19","T53D4","RasV12","MekDD","Aktmyr"
"PITHD1",10.3584053511852,10.4558852555394,10.5942315846887,10.5751053706883,10.5560463199081
"LYPLA2",11.2144927777831,11.0738024050073,11.1232184854692,10.8073361559514,10.6613243609429
"GALE",11.254327186791,11.2603036325645,11.6741454642286,11.3061928473802,11.1400133416376
"HMGCL",10.4948163421504,10.4000393991229,10.1883081299809,10.3909905273605,10.5988390906933
"FUCA1",10.4360244304717,10.0593767692335,9.66299577518938,9.96392944190164,10.452569292617
"PNRC2",12.1594385187355,12.0757351227976,12.3902686937603,12.099539736701,11.9698156463666
"MYOM3",2.81708270495311,2.87646219137738,2.84238557829409,2.82402467201034,3.07943855340649
"IL22RA1",1.78714049086737,1.81600124734904,1.70336481492659,1.67177518413626,1.64933717072742
"IFNLR1",7.7832188841392,7.89795738944339,7.57526702270954,7.89249172255019,7.25266101263549
"STPG1",10.0133480255295,9.94137366633658,10.2143256197062,9.8939396943,10.2561535057383
"NIPAL3",12.5640184229492,12.2178074143943,11.9961493625999,12.0647286738553,12.4435588474834
"RCAN3",9.07824423967111,8.97923351229624,8.76618870087217,9.09907864553536,9.35372263515573
"SYF2",10.8555250543155,10.7599895004272,11.0048415042565,11.015666458102,10.4481239141423
"LDLRAP1",8.68953392041504,8.70175568954566,9.25088830026615,8.92691706589469,8.60020132216815
"AUNIP",6.83479613185321,7.27117859012984,7.4360763151669,7.33470610473895,6.99060766791629
"EXTL1",2.59558381763632,2.2967070932198,2.33933316208565,2.2562705590369,2.3649406044813
"PDIK1L",7.77126502711436,7.89865115239416,8.23028432930042,8.12259354417925,8.22495481757356
"CEP85",9.08902163298583,9.44200279668948,9.56144614128929,9.50281464168856,9.6753385087178
"SH3BGRL3",12.6465476095406,12.357027220977,13.3049821603811,12.4481133267412,12.7149918993522
"UBXN11",9.32037499238201,9.65089540001181,9.46920985990351,9.65820689892986,9.56364118767781
"CRYBG2",7.36061654427031,7.60585437387398,6.38471756305381,6.69804695725601,7.01701911036045
"DHDDS",10.1769095378893,10.1494953542107,9.97359908211942,9.93155300338007,10.195340775026
"RPS6KA1",10.0135052908094,10.1636932332771,9.79411569461703,10.0040092926731,9.91528249565243
"ARID1A",11.7287201000734,11.7671234548303,11.4796142555924,11.5466908482819,11.5697276204369
"SFN",6.32731518572731,6.38546223417507,5.53440988403983,6.72936187279629,5.88584052145745
"GPN2",10.1872178316028,10.0668895367656,10.2799089117412,10.1177624369244,9.97773018726066
"NUDC",12.0969194424588,12.1912316481018,12.7752589909428,12.3432941691448,11.8631476276034
"KDF1",0.869690896553304,0.869730807965465,0.786601181864488,0.859087360594563,0.817493832255919
"TRNP1",9.1818837291205,8.80442774818643,8.02286996705496,7.95834094246077,9.33248733699385
"TENT5B",4.4071876499752,4.48753431947216,3.99146484951313,4.61174341906958,4.65502110976323
"SLC9A1",10.4571345106739,10.220968848166,10.6945196056586,9.91133170863677,10.4218625439615
"WDTC1",11.1562288067106,11.2128130090916,10.8789418861208,11.0948578219858,11.2904713807473
"TMEM222",10.2437756515319,10.3417132994273,10.3251383095012,10.2150273019799,10.0070290830497
"SYTL1",2.47899345179876,2.44076765945315,2.43091083573574,2.69123828293383,2.57887388347127
"MAP3K6",8.92583029641335,9.00142111012204,8.72514024996452,8.79143042365392,9.26379833262368
"GPR3",4.94047323118137,4.9366411114194,6.29467249391738,5.39116651725903,4.48791260834372
"WASF2",12.937859523228,12.8876336807671,12.5794883052687,12.8193109890849,12.9894877408674
"AHDC1",11.4297443897841,11.286719881089,10.6689811030713,10.869489014751,11.6138400602622
"IFI6",8.34403151023669,8.61396747487787,8.18880494413067,8.59783209260541,8.8465631519097
"FAM76A",7.40691076741715,7.61116901845022,7.62885427870669,7.77886815064058,7.96749162481337
"STX12",10.693480061099,10.4315624212296,10.4201593870057,10.5603029699596,10.6679046728063
"THEMIS2",4.92818586852542,5.11076117819696,5.01733481819486,5.1326488849833,5.53056661793872
"RPA2",10.1730832659618,10.3916216820615,10.6880063212338,10.4035090956449,10.2118206914039
"SMPDL3B",6.0935048551637,5.98672968375289,4.79341250493361,5.39677136783381,5.78245081154878
"EYA3",9.51849101570334,9.54716185551484,9.72817740651208,9.63346847471158,9.56284748625418
"ATP5IF1",11.7743515470317,11.788221936709,11.6025962816639,11.6092785098468,11.9359376224781
"SESN2",10.5538441964483,10.8958257075962,11.7197646493182,10.4654444442136,10.8192593731346
"MED18",9.5483938666968,9.45544966823704,9.67337464121974,9.36580221121962,9.34821556067634
"PHACTR4",10.802458121335,10.7945586898678,10.566190564439,10.5893742291627,10.8869657093565
"RCC1",11.4079303626739,11.7401748079751,11.7931677660396,11.822153006066,11.2395434711391
"TRNAU1AP",9.85130698399385,9.79473367876077,9.44981136513277,9.87946933155934,9.70370458652194
"TAF12",9.29868257886045,9.27403342504872,9.50858065746869,9.23859434934638,9.14337329594812
"EPB41",10.6508370221549,10.6106729025758,10.1336601722506,10.1868068387971,10.8403310389781
"TMEM200B",4.92810160411494,5.24681311164231,6.22279126242167,6.39286270362115,4.50420191615995
"SRSF4",11.3702863830791,11.6845269302485,11.6465897406856,11.7305064173521,11.6521901347959
"PTPRU",9.57380052457752,9.0241860516809,10.1126692221792,9.17707975019856,8.52160566993045
"LAPTM5",3.68023594100732,3.46465084586042,5.37101357211654,3.74960918910622,3.5415586999005
"SDC3",11.7475424816795,11.7318931855277,11.433198958732,11.4252439175462,12.5508866056942
"PUM1",11.9278799846218,11.8202118085679,11.5784055871203,11.7290946744212,11.6631918697239
"SNRNP40",10.0840644820993,10.3416861347322,10.6029957039253,10.4241944733556,10.1128073631361
"ZCCHC17",10.1610927433068,10.2245202500307,10.4291193562628,10.301224360725,10.3561586240615
"SERINC2",11.3850911424531,11.2011899663025,11.1217211966948,11.7974328443553,10.4987057433244
"TINAGL1",9.49257455181722,9.34664041141061,7.88669785009052,8.99066961438701,6.79068160569478
"COL16A1",5.67101775398112,5.42104862733094,6.09033876923234,5.52397088899623,5.10032975151886
"ADGRB2",8.72143084996879,8.33333625015185,8.69824494702952,7.75868072037461,8.59557175286618
"SPOCD1",11.102969715683,11.2740246087986,11.3041203552764,10.7123330050683,10.5570238949588
"TMEM39B",8.37095527934526,8.45687644131369,8.63681160351555,8.50103656274992,8.13820386140072
"CCDC28B",7.44141445813818,7.73221703432012,7.06329015606835,7.32126930714062,8.0047789499983
"IQCC",7.49952338798334,7.64097880797569,8.05648908344687,7.69681030627936,7.64585309331095
"EIF3I",12.9457152240458,12.9537305067821,13.1943065791731,12.8724619023729,12.7242067792176
"FAM167B",3.80449774509278,3.76271855287872,3.71266856378673,3.96958699457703,3.6702281573036
"HDAC1",11.1847046611073,11.251060767284,11.5169559486948,11.4252636172597,10.9059224233329
"MARCKSL1",10.935508586479,10.5917443512932,10.2043547138496,10.3562156600686,10.0558400565177
"RBBP4",11.6744567875405,11.7326298934321,11.5857354083366,11.5674055824822,11.5448851710201
"SYNC",9.20837721315918,9.1667426852723,7.27705230906419,8.38794809838146,9.3934507115135
"KIAA1522",12.4000432418021,12.3148952410091,11.1045771058239,11.6383403798741,12.2201180825052
"YARS1",12.2379091004373,12.9813347759312,12.98695098477,12.9762547619648,12.7225612374014
"S100PBP",9.31050063234714,9.54970049349569,9.48339801009011,9.66941528836715,9.78738733415327
"TMEM54",10.1366306394351,10.1959052295638,10.1665907678173,10.0789458844652,9.7089726202519
"RNF19B",9.33031689145644,9.27815963542155,10.042782661958,9.52918378833579,9.14484628221491
"AZIN2",6.9269943634412,6.81031409723263,7.36352091438828,7.12436345709713,7.02495372063318
"TRIM62",7.78596813461757,7.3813663446517,7.45159544034887,6.97232819160161,7.52882999456492
"ZNF362",9.48253051866631,9.62638738705448,8.83065960228662,9.44102302367263,9.27962158558261
"PHC2",12.6676972137098,12.4897279833031,13.2858362275561,12.7603016824976,11.6692331241596
"ZSCAN20",7.88412204974861,7.74985052505253,7.88828452204222,7.66846631040259,7.59612500688633
"CSMD2",5.1981571241972,4.42917888857897,6.29930515865903,5.49744278557884,4.28777608667926
"C1orf94",0.583879046327752,0.584422127337383,0.73991505517343,0.604422240331648,0.583264439547413
"SMIM12",10.0274714538247,10.1339461347281,10.1940589001723,10.0599989719923,9.85177570451467
"GJB3",2.79941282681911,2.6828596114663,2.42829162586233,2.36508177469246,2.32598570410795
"ZMYM6",7.91050303646023,7.79740052158863,7.87608661118226,7.9181890116128,8.02668361310913
"ZMYM1",9.18649419512361,9.04490622502757,9.38484776920198,9.25284764841077,8.96704291014841
"SFPQ",13.1148216218841,13.2492130373685,12.9842428582204,13.2195682556941,12.5736947412491
"KIAA0319L",11.7513779874158,11.6183973880617,11.7097021778967,11.6354571016423,11.8424398217185
"NCDN",10.3631764949445,10.3053857131061,10.4211815567572,9.93738025964325,10.2006846853885
"PSMB2",11.9542144372135,11.9860322920812,11.9350935777635,11.6902014616196,12.0970706879026
"CLSPN",9.64953080728121,10.3275941621903,10.2882996294877,10.4538775743312,9.90797203121923
"AGO1",10.5005678798244,10.4466113225693,10.1210789887111,10.3467648997855,10.5716597274541
"TEKT2",1.42836284486835,1.48059346713206,1.33828541025238,1.36368395003234,1.41151095655705
"COL8A2",8.85901251651904,9.08142370538401,9.38809329209257,9.84122084084623,7.77273580930943
"MAP7D1",13.2860966034367,13.3878389949554,13.2612831053606,13.1839014303228,13.1340384010818
"SH3D21",9.56763946643935,8.86684484417454,8.61513858402173,8.95913588109393,9.8065557642604
"LSM10",9.28826698817368,9.32868661578718,9.74293794361039,9.34493521147623,9.12682348268272
"OSCP1",7.78239003223403,7.79916415123979,7.64884119925478,7.60399839934615,7.92505985805248
"ZC3H12A",8.94540019346176,8.95962806292253,8.54410889558783,8.27896487395156,8.7336331369758
"MEAF6",10.6040645601333,10.609139794792,10.872643137512,10.7160867707096,10.4396719597291
"DNALI1",8.92126322521721,8.8995088772337,8.7851107746723,9.00083748239577,8.09643036767924
"GNL2",11.3283203254788,11.3011374565807,11.6921586466089,11.3053833462475,11.28612364802
"C1orf109",8.88833649869453,9.10560778778455,9.40939445532082,9.09432286735283,8.9057126666376
"EPHA10",3.27926607702839,3.06355430056002,2.95321173745206,3.23288766272045,2.84941217817476
"MANEAL",8.83800045824784,8.99703224124797,8.84896736363654,8.42755847997523,8.84904319820326
"YRDC",8.66292006972135,8.74041518217975,9.16896133373329,8.58866159086234,8.5430581279139
"C1orf122",9.68059194766342,9.76521518592831,9.94697154102746,9.75363937188024,9.89317760171504
"MTF1",9.55859441853874,9.46987171431354,9.72844859454453,9.47049313633089,9.5257485252418
"INPP5B",9.70374881101609,9.90732335476507,9.65121355437388,9.95795687398214,9.73956081330153
"SF3A3",11.7246110180059,11.8204405953306,12.0020715357764,11.7616392956533,11.4492723950424
"FHL3",9.58133597648937,9.45167143907779,9.16548278950676,9.20679070633041,8.7283007080012
"UTP11",10.4493489371065,10.4875206995174,10.8815969091895,10.4443105713215,10.2775728393275
"POU3F1",1.81483878147814,1.79679623565673,1.91580650362669,1.81518743199344,1.74248168591037
"RHBDL2",7.6992826450374,7.47445729325692,6.72782350919626,7.12090842522251,7.71314766553315
"AKIRIN1",11.4269062263486,11.2248547712236,11.5750080312568,11.0758300548137,11.2525931234555
"MACF1",14.6058697717694,14.3365745744585,13.905668638719,14.3230367715293,14.2349083703282
"PABPC4",13.0818674132633,13.1298294613633,13.2686958497128,13.0290877674141,12.5578134428896
"HEYL",5.3064274194991,5.28968577099249,4.91436336060106,5.96612193779745,5.57166668977336
"BMP8B",6.74403650784545,6.88244489973409,5.88684310091484,6.61909645415898,6.85463888207405
"MYCL",4.37571312411352,4.35422796508772,5.25384776453888,4.54690751995811,4.89932671868976
"MFSD2A",6.04288131178797,5.97630876979073,8.24419328916249,6.62201334747121,6.22631561649349
"PPT1",11.4099892038609,11.5463038198238,11.2634652998387,11.2719006251442,11.8757704664573
"RLF",10.1835142481728,9.85629884419959,9.91681545112345,10.0558471268686,10.3410974469268
"ZMPSTE24",11.1464579922881,11.0887571456182,11.431251177401,11.2129427990942,11.5071698263741
"COL9A2",6.22002965552402,6.38233239398718,5.64704660984963,6.42384122220058,7.93024270374965
"SMAP2",9.3695514038843,9.3090410360993,9.62911758804177,9.26479731032436,9.90619687557741
"ZFP69B",6.10692226418697,6.27527607008389,6.70622149948959,6.38644304908858,6.54379594105355
