"","x"
"ACYP1",1
"IRF2BPL",1
"RPS6KA5",1
"GON7",1
"UBR7",1
"IFI27L1",1
"VRK1",1
"WARS1",1
"MARK3",1
"XRCC3",1
"CDCA4",1
"ARHGAP11A",1
"GREM1",1
"KATNBL1",1
"LPCAT4",1
"KNSTRN",1
"CHAC1",1
"OIP5",1
"ITPKA",1
"CDAN1",1
"MAP1A",1
"CASC4",1
"CEP152",1
"PIGBOS1",1
"C15orf65",1
"FAM81A",1
"BNIP2",1
"PIF1",1
"PDCD7",1
"ZWILCH",1
"AAGAB",1
"C15orf61",1
"THAP10",1
"RCN2",1
"IDH3A",1
"ZFAND6",1
"SEC11A",1
"ABHD2",1
"FANCI",1
"MESP1",1
"NGRN",1
"BLM",1
"RCCD1",1
"AC013394.1",1
"LRRC28",1
"SELENOS",1
"SNRPA1",1
"POLR3K",1
"CHTF18",1
"MRPS34",1
"HAGH",1
"GFER",1
"NTHL1",1
"PGP",1
"E4F1",1
"ECI1",1
"TEDC2",1
"PAQR4",1
"BMERB1",1
"NDE1",1
"TMC7",1
"CCP110",1
"ACSM3",1
"IL4R",1
"EIF3CL",1
"ATP2A1",1
"KIF22",1
"PAGR1",1
"HIRIP3",1
"AC093512.2",1
"ZNF771",1
"ZNF689",1
"CCDC189",1
"ORC6",1
"GPT2",1
"IRX5",1
"NUDT21",1
"CBFB",1
"ELMO3",1
"TMEM208",1
"CTCF",1
"ACD",1
"ENKD1",1
"THAP11",1
"SNTB2",1
"EXOSC6",1
"AARS1",1
"RFWD3",1
"TERF2IP",1
"CMC2",1
"CENPN",1
"BANP",1
"ZC3H18",1
"RNF166",1
"CTU2",1
"CDT1",1
"FANCA",1
"SMYD4",1
"HASPIN",1
"PSMB6",1
"SLC25A11",1
"CAMTA2",1
"MIS12",1
"GPS2",1
"SAT2",1
"AURKB",1
"LLGL1",1
"TOP3A",1
"SHMT1",1
"PROCA1",1
"TP53I13",1
"CRLF3",1
"ATAD5",1
"C17orf75",1
"LIG3",1
"MYO19",1
"AATF",1
"CDC6",1
"EIF1",1
"COASY",1
"PSMC3IP",1
"TUBG1",1
"BRCA1",1
"HROB",1
"DBF4B",1
"KIF18B",1
"MYL4",1
"TTLL6",1
"EME1",1
"RSAD1",1
"PRR11",1
"INTS2",1
"METTL2A",1
"NUP85",1
"H3-3B",1
"FBF1",1
"RNF157",1
"PRCD",1
"ST6GALNAC2",1
"METTL23",1
"MFSD11",1
"SOCS3",1
"PGS1",1
"ANAPC11",1
"MAFG",1
"PYCR1",1
"ASPSCR1",1
"LRRC45",1
"FN3KRP",1
"THOC1",1
"METTL4",1
"TGIF1",1
"ZBTB14",1
"CEP76",1
"ZNF519",1
"RNF125",1
"FHOD3",1
"SETBP1",1
"SIGLEC15",1
"IER3IP1",1
"SKA1",1
"C18orf54",1
"RTTN",1
"TRIB3",1
"SRXN1",1
"FAM110A",1
"PANK2",1
"MCM8",1
"ESF1",1
"MGME1",1
"DTD1",1
"NXT1",1
"SYNDIG1",1
"PYGB",1
"GINS1",1
"E2F1",1
"DSN1",1
"RBL1",1
"WFDC10B",1
"UBE2V1",1
"KCNG1",1
"LSM14B",1
"PSMA7",1
"RPS21",1
"ARFRP1",1
"SLC2A4RG",1
"UCKL1",1
"MIER2",1
"CDC34",1
"OAZ1",1
"DOHH",1
"PIAS4",1
"CHAF1A",1
"LONP1",1
"PIN1",1
"ATG4D",1
"CDKN2D",1
"TIMM29",1
"SPC24",1
"EPOR",1
"ZNF700",1
"RAD23A",1
"GADD45GIP1",1
"STX10",1
"CCDC130",1
"HAUS8",1
"GTPBP3",1
"GDF15",1
"PLEKHF1",1
"ANKRD27",1
"CEBPG",1
"UBA2",1
"HAUS5",1
"WDR62",1
"POLR2I",1
"TBCB",1
"ZFP30",1
"FBXO17",1
"TIMM50",1
"MAP3K10",1
"TTC9B",1
"C19orf47",1
"PRX",1
"XRCC1",1
"SMG9",1
"CD3EAP",1
"EML2",1
"IRF2BP1",1
"PPP5C",1
"CCDC9",1
"IRF3",1
"BCL2L12",1
"PNKP",1
"NUP62",1
"ZNF473",1
"NR1H2",1
"POLD1",1
"ZNF83",1
"LENG1",1
"A1BG",1
"ZNF584",1
"SLC27A5",1
"UBE2M",1
"CLTCL1",1
"CDC45",1
"THAP7",1
"ZNF280B",1
"SPECC1L",1
"CHEK2",1
"SFI1",1
"RBFOX2",1
"APOL1",1
"ELFN2",1
"ATF4",1
"XPNPEP3",1
"PMM1",1
"NDUFA6",1
"PNPLA3",1
"NUP50",1
"WNT7B",1
"ADM2",1
"NCAPH2",1
"HSPA13",1
"MIS18A",1
"DONSON",1
"RRP1B",1
"C21orf58",1
"NOC2L",2
"KLHL17",2
"PLEKHN1",2
"CPTP",2
"DVL1",2
"AURKAIP1",2
"ATAD3B",2
"RER1",2
"WRAP73",2
"C1orf174",2
"RPL22",2
"GPR153",2
"PLEKHG5",2
"NOL9",2
"KLHL21",2
"THAP3",2
"ERRFI1",2
"DFFA",2
"SRM",2
"UBIAD1",2
"EFHD2",2
"EPHA2",2
"ATP13A2",2
"MRTO4",2
"SLC66A1",2
"TMCO4",2
"OTUD3",2
"PLA2G5",2
"CAMK2N1",2
"SH2D5",2
"EPHB2",2
"RPL11",2
"GALE",2
"PNRC2",2
"IFNLR1",2
"SYF2",2
"LDLRAP1",2
"SH3BGRL3",2
"GPN2",2
"NUDC",2
"TMEM222",2
"GPR3",2
"RPA2",2
"SESN2",2
"MED18",2
"TAF12",2
"PTPRU",2
"LAPTM5",2
"ZCCHC17",2
"COL16A1",2
"TMEM39B",2
"EIF3I",2
"HDAC1",2
"TMEM54",2
"RNF19B",2
"AZIN2",2
"PHC2",2
"CSMD2",2
"C1orf94",2
"SMIM12",2
"ZMYM1",2
"SFPQ",2
"COL8A2",2
"LSM10",2
"MEAF6",2
"DNALI1",2
"GNL2",2
"C1orf109",2
"YRDC",2
"MTF1",2
"SF3A3",2
"UTP11",2
"POU3F1",2
"PABPC4",2
"MYCL",2
"MFSD2A",2
"ZFP69B",2
"CITED4",2
"HIVEP3",2
"FOXJ3",2
"PPCS",2
"PPIH",2
"TIE1",2
"CDC20",2
"ELOVL1",2
"ST3GAL3",2
"DPH2",2
"ATP6V0B",2
"TMEM53",2
"RPS8",2
"PLK3",2
"UROD",2
"MMACHC",2
"GPBP1L1",2
"TMEM69",2
"POMGNT1",2
"UQCRH",2
"NSUN4",2
"NRDC",2
"RAB3B",2
"KTI12",2
"GPX7",2
"COA7",2
"TCEANC2",2
"TTC4",2
"MYSM1",2
"JUN",2
"CYP2J2",2
"CACHD1",2
"PDE4B",2
"ZRANB2",2
"NEGR1",2
"TYW3",2
"SLC44A5",2
"RABGGTB",2
"PTGFR",2
"IFI44L",2
"CTBS",2
"MCOLN2",2
"BCL10",2
"ZNHIT6",2
"COL24A1",2
"LMO4",2
"KYAT3",2
"GBP5",2
"LRRC8B",2
"LRRC8C",2
"HFM1",2
"EPHX4",2
"RPAP2",2
"GFI1",2
"EVI5",2
"RPL5",2
"CCDC18",2
"DNTTIP2",2
"RTCA",2
"CDC14A",2
"DPH5",2
"AMY2B",2
"VAV3",2
"AMIGO1",2
"LRIF1",2
"WDR77",2
"PTPN22",2
"AP4B1",2
"ATP1A1",2
"CD58",2
"TENT5C",2
"GDAP2",2
"WDR3",2
"SEC22B",2
"FAM72B",2
"H3-2",2
"FAM72C",2
"NBPF15",2
"SRGAP2B",2
"NBPF20",2
"GPR89A",2
"POLR3C",2
"MRPS21",2
"PRPF3",2
"MCL1",2
"CTSS",2
"CTSK",2
"CERS2",2
"C1orf56",2
"MRPL9",2
"THEM4",2
"LCE3D",2
"LCE1F",2
"S100A13",2
"C1orf43",2
"SHC1",2
"FLAD1",2
"FAM189B",2
"DAP3",2
"KHDC4",2
"SSR2",2
"CCT3",2
"GPATCH4",2
"MRPL24",2
"ETV3",2
"CFAP45",2
"PEX19",2
"USF1",2
"PFDN2",2
"NIT1",2
"USP21",2
"MPZ",2
"HSPA6",2
"FCRLB",2
"UAP1",2
"RGS4",2
"BLZF1",2
"CCDC181",2
"C1orf112",2
"GORAB",2
"PRRX1",2
"EEF1AKNMT",2
"TNFSF4",2
"DARS2",2
"STX6",2
"RGS16",2
"NPL",2
"NMNAT2",2
"EDEM3",2
"TRMT1L",2
"RGS2",2
"UCHL5",2
"GLRX2",2
"ZNF281",2
"DDX59",2
"TMEM9",2
"ADIPOR1",2
"PLEKHA6",2
"SLC45A3",2
"FAM72A",2
"SRGAP2",2
"RASSF5",2
"DYRK3",2
"CD46",2
"PLXNA2",2
"CAMK1G",2
"LAMB3",2
"G0S2",2
"HSD11B1",2
"UTP25",2
"ANGEL2",2
"PTPN14",2
"KCNK2",2
"ESRRG",2
"RRP15",2
"HLX",2
"AIDA",2
"CAPN2",2
"FBXO28",2
"DEGS1",2
"CNIH3",2
"LBR",2
"ITPKB",2
"COQ8A",2
"ZNF678",2
"ARF1",2
"H2AW",2
"TAF5L",2
"URB2",2
"FAM89A",2
"KCNK1",2
"SLC35F3",2
