"","x"
"PAQR3",1
"ANTXR2",1
"PRDM8",1
"PRKG2",1
"ENOPH1",1
"LIN54",1
"COQ2",1
"ABRAXAS1",1
"GPAT3",1
"ARHGAP24",1
"PTPN13",1
"KLHL8",1
"PPM1K",1
"HERC5",1
"PYURF",1
"GPRIN3",1
"SNCA",1
"CCSER1",1
"TSPAN5",1
"EIF4E",1
"TACR3",1
"PPA2",1
"INTS12",1
"GSTCD",1
"DKK2",1
"CASP6",1
"ZGRF1",1
"UGT8",1
"MAD2L1",1
"PRDM5",1
"BBS7",1
"TRPC3",1
"NUDT6",1
"SPATA5",1
"PLK4",1
"MFSD8",1
"SCLT1",1
"SLC7A11",1
"NAA15",1
"MAML3",1
"SCOC",1
"CLGN",1
"HHIP",1
"ANAPC10",1
"ABCE1",1
"EDNRA",1
"NR3C2",1
"TIGD4",1
"ARFIP1",1
"FHDC1",1
"RBM46",1
"GUCY1B1",1
"C4orf46",1
"KLHL2",1
"CPE",1
"ANXA10",1
"SH3RF1",1
"AADAT",1
"CEP44",1
"SPATA4",1
"VEGFC",1
"NEIL3",1
"AGA",1
"DCTD",1
"CDKN2AIP",1
"ING2",1
"PRIMPOL",1
"CEP72",1
"TERT",1
"MRPL36",1
"ADAMTS16",1
"NSUN2",1
"MTRR",1
"ANKH",1
"CDH12",1
"RXFP3",1
"RAD1",1
"BRIX1",1
"PRLR",1
"LIFR",1
"OSMR",1
"PRKAA1",1
"RPL37",1
"PLCXD3",1
"CCDC152",1
"ZNF131",1
"TMEM267",1
"C5orf34",1
"PELO",1
"ITGA2",1
"MOCS2",1
"ESM1",1
"GPX8",1
"CCNO",1
"DHX29",1
"MTREX",1
"SLC38A9",1
"IL31RA",1
"MIER3",1
"PDE4D",1
"ERCC8",1
"NDUFAF2",1
"CENPK",1
"PPWD1",1
"MAST4",1
"SLC30A5",1
"CCNB1",1
"CENPH",1
"AK6",1
"TAF9",1
"GTF2H2C",1
"SMN2",1
"GTF2H2",1
"MRPS27",1
"TNPO1",1
"TMEM171",1
"FOXD1",1
"UTP15",1
"TBCA",1
"ARSB",1
"HOMER1",1
"MTX3",1
"MSH3",1
"ZCCHC9",1
"XRCC4",1
"COX7C",1
"RASA1",1
"TMEM161B",1
"CETN3",1
"MBLAC2",1
"POLR3G",1
"ADGRV1",1
"SLF1",1
"MCTP1",1
"ARSK",1
"GLRX",1
"RIOK2",1
"RGMB",1
"CHD1",1
"ST8SIA4",1
"GIN1",1
"PPIP5K2",1
"FBXL17",1
"CAMK4",1
"SRP19",1
"TRIM36",1
"ATG12",1
"ARL14EPL",1
"SRFBP1",1
"CEP120",1
"CSNK1G3",1
"ALDH7A1",1
"MARCHF3",1
"CCDC192",1
"SLC12A2",1
"HINT1",1
"CSF2",1
"SLC22A4",1
"HSPA4",1
"TCF7",1
"SMAD5",1
"SPOCK1",1
"MYOT",1
"CDC25C",1
"EGR1",1
"ETF1",1
"HSPA9",1
"NRG2",1
"PFDN1",1
"SRA1",1
"PCDHGC3",1
"PCDHGC5",1
"GNPDA1",1
"SPRY4",1
"FGF1",1
"ARHGAP26",1
"STK32A",1
"DPYSL3",1
"ADRB2",1
"ABLIM3",1
"CSNK1A1",1
"PPARGC1B",1
"HMGXB3",1
"CSF1R",1
"SMIM3",1
"GPX3",1
"ATOX1",1
"GEMIN5",1
"KIF4B",1
"ZBED8",1
"PTTG1",1
"INSYN2B",1
"NOP16",1
"SNCB",1
"PRELID1",1
"PRR7",1
"NHP2",1
"MAPK9",1
"GFPT2",1
"BTNL8",1
"RACK1",1
"SERPINB6",1
"ECI2",1
"CDYL",1
"LYRM4",1
"SSR1",1
"TXNDC5",1
"EEF1E1",1
"C6orf52",1
"ADTRP",1
"MCUR1",1
"JARID2",1
"MYLIP",1
