"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"PPP4R3B",11.6841113294069,11.731786675321,11.6572580282054,11.6825649423588,11.505036300709,11.7031173305111,11.9177496670536,11.7758261865876,11.6701575822872,11.6140792789381,11.6316615742984,11.6181074928117,11.6593137203927,11.7690631392322,11.7332767016644
"PNPT1",10.5284336192687,9.87912375532731,10.0532985311914,10.6463518538357,10.4056333865292,10.2335915832779,10.3261362725371,10.5013303933422,10.5028530260358,10.2951861869279,10.7119942744597,10.3538777261895,10.4131475816076,10.2579518601609,10.3413793657221
"EFEMP1",13.3718205391179,14.176926398845,14.2926591333557,12.834305431072,13.9093359719176,13.3499806087491,13.1669254935855,13.1054716929211,13.0025646338447,12.9287242089965,12.4126991723502,13.1976364076561,13.048590110257,13.4892931525788,13.1800202080055
"CCDC85A",9.03483352592264,9.83773722354503,9.89721047608265,9.10863055273174,9.54208360849608,9.93788837505056,10.2238595661986,10.0950881456384,9.35881118266909,10.1017907204501,8.66133952646249,9.98754637283017,9.43333136345203,9.72423457869811,9.92903841143976
"FANCL",9.07565910513561,8.6009024945488,8.63337713063133,9.21073024760517,8.90587981015879,9.09829131211968,8.92407488327244,8.99011360830291,8.89613759869662,9.0262204044731,8.81277290556901,8.97829748332414,8.88447665554144,8.54817212681331,8.75844788718752
"BCL11A",1.08190436693948,1.0515030928498,1.18378216673789,1.1201049241888,1.22767491235268,1.05645028335976,1.0936674928924,1.12910388888058,1.0572673957293,1.17622173346773,1.09625187979617,1.18965705764122,1.07535742942117,1.04963970864352,1.1694474742034
"REL",8.79140191200944,8.8918348119427,8.7223465390462,8.09126214072832,8.50062852368075,8.47606023716911,8.66901993531024,8.36738869674675,8.3552195728225,8.47229326171555,7.81880287488927,8.55482491748429,8.3877750060788,8.7007679721614,8.58492792616498
"PEX13",9.9270219897697,10.2006438658609,9.77964126791329,10.0657044818596,9.95087249125955,10.0290773287024,10.2412784290117,10.0436235123512,10.0211258233589,9.97013679489658,9.99266663003523,9.74197729820034,9.75277139486542,9.99311308151928,9.82394964491649
"KIAA1841",9.22298764252164,8.94998261874536,8.36480867770322,9.2388409770844,8.99419592650988,8.90041211643311,9.35191732934556,8.88907587658289,9.28264613148965,8.96396350965576,8.96010761951431,8.94608025680626,9.10613466466468,9.26335145833249,8.60269718003601
"USP34",12.1142013734742,12.2178464734961,12.1130879274185,11.9272745793882,11.6899732948617,12.0129844141753,12.3089699516172,12.1046342203546,11.9944088174866,11.9178488613376,12.1212150048535,12.1079698386945,12.2103152077898,12.3311907785534,12.3290379573767
"CCT4",13.0408918517165,12.5575515292688,12.8927700761113,13.4006942814257,12.9457996636512,13.0065263066164,12.9380901504098,13.2582071666206,13.133804824219,13.0627347526376,13.2452164507574,12.9668589368055,13.0283245862429,12.5199181996817,13.0392498263484
"COMMD1",9.4558140423539,9.53182291531153,9.42609067984924,9.32349586565909,9.48307082957557,9.59424364363955,9.72112825247793,9.59563740559564,9.43370503250451,9.55401936830061,9.5590349848386,9.70267700530873,9.51721776895636,9.84616335547309,9.60153280193771
"B3GNT2",9.11866501516434,9.38082321439019,9.19023089527904,9.5039214915659,9.37362563305638,8.89187386375352,9.47312983688787,9.185377829451,9.88234098373598,9.12767763561304,9.30934474201186,9.42475853569413,9.03426309353482,9.47548498844686,9.32125121905053
"TMEM17",7.40091443312745,7.74603805452282,7.57556001410186,7.3452795777392,7.37151973868855,7.61306184508753,7.68306068766702,7.46057746099056,7.55901183668622,7.51994736407976,7.51544117379817,7.64003220040072,7.40553682240934,7.78765701474018,7.55998837011893
"EHBP1",11.5285616996541,12.2579805807224,11.8889814807662,11.4013138611249,11.8174967995194,11.5497704080745,11.8786134019114,11.4724435641489,11.1796198919619,11.4965670016411,11.3465525703934,11.7190176644651,11.6134986128835,12.2340319793644,11.670658521357
