"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"KANK2",12.5390940912903,12.6386790186778,12.6411587892671,12.4777106670562,12.526386072813,13.228973946684,13.1416679415417,12.6643873282871,12.6671130317131,13.0972833532751,12.2994004244526,12.8995930404773,12.8205895952533,12.8496075909437,12.5733650162756
"DOCK6",8.75270498830815,9.34956307126047,9.76915874036912,8.51049270753923,9.2997274143746,8.78560187679927,8.75784977124535,8.89937059310403,8.49118497219523,8.85985990708009,8.46061060480166,9.00530399900093,8.7053159185013,9.23054642581626,8.98149447828336
"TMEM205",9.27154403503136,9.38237347535491,9.28940973178878,9.53151014129558,9.28474321946505,9.40074806332216,9.37880684071529,9.41470342889758,9.779601287652,9.44649544862535,9.79358000057819,9.31779417758192,9.3023957780152,9.43278996486728,9.22655293359387
"CCDC159",6.22970819350474,6.99064307531547,6.79533370976021,6.2867175978195,6.48592680176413,6.51485702292097,6.60203755050746,6.55238888710895,6.56624917984071,6.24668758619091,6.5109451373873,6.32676191265475,6.20767125198086,7.04806252745795,6.50946300605679
"PLPPR2",9.63128830478463,10.8151609211298,10.3236182079074,9.6896466931991,10.0574657295425,9.70204738013265,10.4046634544806,9.93458521310055,9.97853222655015,9.85197418547864,9.84405177979588,9.69126378137876,9.54692002013148,10.4978578958794,9.89483324625742
"SWSAP1",6.08758070596707,6.12244811160732,6.42153602036266,6.13818641424843,6.44787114775587,6.1077354809788,6.20620197042225,6.30668940873499,6.18416765733893,6.52194515688918,6.19359637299733,6.36173394587781,6.2751298745527,6.27859964656099,6.41231136676269
"EPOR",9.10757990313071,9.30718261126085,8.95366743320326,9.49398596744942,9.06243621219908,8.99689771434366,9.04717906021895,8.54214072858235,9.34701100831894,8.78171107687665,9.2487611991002,8.76861296500159,9.00418447140587,8.8715576226465,8.51569427352424
"CCDC151",4.72737693083149,5.42256965578883,4.80677842179354,4.65800572377033,4.88335743500918,4.90476913011383,4.98212287460134,4.71930826858723,4.58833299445157,4.75465891822857,4.44366672701846,4.76603283916964,4.79109806128077,4.9145875915069,4.60766179934985
"PRKCSH",13.630033144537,13.5537054830679,13.681232651773,13.739553850247,13.7036288783156,13.5156902714171,13.4395340334921,13.3839999114873,13.9769084583742,13.43704733608,13.8297610181789,13.4005484798232,13.426328165085,13.4961313153004,13.4185456174559
"ELAVL3",3.3262248925841,4.91628254374637,4.15807253336723,3.42931326624464,3.52361320559758,3.61600749813733,3.78395101788341,3.53706406956052,3.42369413814784,3.56944210540108,3.32701318139568,3.74523529929205,3.42721076225017,4.2591770558817,3.77434476447509
